Model,Precision,Recall,F1,mAP50,mAP50-95
YOLO26s_Baseline,0.8873528893659753,0.8876552434232116,0.8875035406434653,0.9133939789386217,0.7712223908137288
YOLO26s_ECA_BiFPN_P2,0.9220830404850143,0.8661116782664069,0.8932208944702041,0.9070462370986847,0.749896056743174
