epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,34826.5,0.82388,0.63791,1.16664,0.88778,0.85721,0.91286,0.73593,0.85525,0.67495,1.24562,0.000742625,0.000742625,0.000742625
43,34889.6,0.80713,0.61878,1.15581,0.89707,0.86113,0.91914,0.75057,0.8336,0.66672,1.24569,0.00073025,0.00073025,0.00073025
44,34951.8,0.82138,0.62977,1.16324,0.9022,0.85304,0.92028,0.74542,0.84161,0.68913,1.23846,0.000717875,0.000717875,0.000717875
45,35013.9,0.81125,0.62353,1.16108,0.90073,0.86069,0.91616,0.74462,0.82353,0.66561,1.2314,0.0007055,0.0007055,0.0007055
46,35079.8,0.78923,0.59989,1.13882,0.87001,0.857,0.91154,0.7465,0.82681,0.65675,1.24747,0.000693125,0.000693125,0.000693125
47,35145.1,0.80411,0.61698,1.1515,0.88946,0.85125,0.90973,0.74295,0.83743,0.65496,1.242,0.00068075,0.00068075,0.00068075
48,35206.9,0.79031,0.59178,1.14544,0.89256,0.86697,0.92038,0.7607,0.8159,0.64717,1.23395,0.000668375,0.000668375,0.000668375
49,35269.8,0.78263,0.5948,1.13636,0.91046,0.85397,0.9175,0.75793,0.78316,0.63203,1.21577,0.000656,0.000656,0.000656
50,35334.5,0.78557,0.58907,1.13166,0.9047,0.8441,0.91802,0.75465,0.80147,0.64224,1.22772,0.000643625,0.000643625,0.000643625
51,35397.1,0.76603,0.57425,1.12061,0.89911,0.8561,0.91665,0.75491,0.79016,0.65467,1.22805,0.00063125,0.00063125,0.00063125
52,35459.1,0.77841,0.58258,1.14094,0.90236,0.84763,0.91143,0.75143,0.80217,0.65088,1.23194,0.000618875,0.000618875,0.000618875
53,35522.2,0.77875,0.58606,1.13801,0.91641,0.85112,0.92274,0.76468,0.79025,0.61948,1.21384,0.0006065,0.0006065,0.0006065
54,35586.2,0.76525,0.57098,1.12433,0.89173,0.86906,0.9184,0.76079,0.79868,0.62814,1.23136,0.000594125,0.000594125,0.000594125
55,35648.8,0.74635,0.55972,1.12367,0.88185,0.86707,0.91587,0.75765,0.79219,0.63975,1.23517,0.00058175,0.00058175,0.00058175
56,35710.6,0.73973,0.55516,1.11216,0.90261,0.86298,0.91642,0.76068,0.79097,0.62914,1.20796,0.000569375,0.000569375,0.000569375
57,35774.5,0.73682,0.55318,1.10483,0.90692,0.87306,0.92496,0.7785,0.77161,0.60297,1.21124,0.000557,0.000557,0.000557
58,35838.1,0.74842,0.5497,1.11061,0.91409,0.86104,0.92501,0.76576,0.77778,0.63747,1.21385,0.000544625,0.000544625,0.000544625
59,35900.7,0.73984,0.54544,1.11039,0.9109,0.85569,0.92596,0.76966,0.78165,0.63002,1.21386,0.00053225,0.00053225,0.00053225
60,35963.3,0.72809,0.54989,1.10505,0.90026,0.87224,0.92309,0.77165,0.76904,0.61278,1.2021,0.000519875,0.000519875,0.000519875
61,36028.3,0.74339,0.55398,1.1224,0.92007,0.85956,0.92655,0.77317,0.77792,0.59997,1.20813,0.0005075,0.0005075,0.0005075
62,36092.8,0.72156,0.53424,1.10825,0.89688,0.86334,0.92281,0.76018,0.80243,0.64569,1.22142,0.000495125,0.000495125,0.000495125
63,36154.9,0.71987,0.53174,1.10171,0.8953,0.86544,0.91978,0.77011,0.77842,0.63663,1.22428,0.00048275,0.00048275,0.00048275
64,36216.4,0.72553,0.53422,1.09678,0.92179,0.85149,0.91777,0.76962,0.76861,0.61333,1.22255,0.000470375,0.000470375,0.000470375
65,36277.3,0.71746,0.53679,1.10715,0.88392,0.87365,0.92075,0.76925,0.77396,0.62138,1.22221,0.000458,0.000458,0.000458
66,36336.9,0.71986,0.52239,1.10274,0.89757,0.85968,0.91656,0.76504,0.76374,0.63735,1.22591,0.000445625,0.000445625,0.000445625
67,36396,0.7126,0.53138,1.0987,0.90425,0.86176,0.91687,0.77183,0.75803,0.61129,1.20163,0.00043325,0.00043325,0.00043325
68,36455.3,0.70619,0.50063,1.08386,0.88492,0.88081,0.9213,0.77349,0.74842,0.58403,1.20095,0.000420875,0.000420875,0.000420875
69,36515.4,0.70827,0.52193,1.10134,0.89004,0.86847,0.91861,0.77265,0.75997,0.5966,1.21174,0.0004085,0.0004085,0.0004085
70,36575.3,0.69568,0.52623,1.10395,0.88208,0.87569,0.91824,0.7747,0.74432,0.59603,1.19897,0.000396125,0.000396125,0.000396125
71,36634,0.67926,0.49895,1.07491,0.88649,0.87336,0.91724,0.77396,0.74507,0.59957,1.20385,0.00038375,0.00038375,0.00038375
72,36692,0.67333,0.48948,1.07184,0.90436,0.85449,0.91499,0.76837,0.76379,0.62633,1.21347,0.000371375,0.000371375,0.000371375
73,36751.9,0.67605,0.49337,1.07905,0.89655,0.85123,0.91567,0.77328,0.75156,0.59348,1.20897,0.000359,0.000359,0.000359
74,36811.7,0.66896,0.49088,1.07283,0.8894,0.86864,0.92044,0.78187,0.73965,0.59964,1.20542,0.000346625,0.000346625,0.000346625
75,36870.9,0.66477,0.48774,1.07144,0.89401,0.87654,0.92389,0.77791,0.75488,0.58288,1.21171,0.00033425,0.00033425,0.00033425
76,36929.4,0.67764,0.4912,1.08029,0.89203,0.86846,0.91753,0.77241,0.75917,0.59108,1.20458,0.000321875,0.000321875,0.000321875
77,36989.7,0.67853,0.49671,1.0807,0.87814,0.8788,0.92138,0.77909,0.74127,0.55974,1.20387,0.0003095,0.0003095,0.0003095
78,37049.8,0.64901,0.45999,1.05849,0.91942,0.85616,0.92436,0.77932,0.74886,0.61856,1.2133,0.000297125,0.000297125,0.000297125
79,37108.9,0.65571,0.47328,1.06904,0.90279,0.8617,0.91825,0.77227,0.75241,0.58957,1.21296,0.00028475,0.00028475,0.00028475
80,37168.4,0.64963,0.46046,1.06092,0.91769,0.85768,0.92012,0.77659,0.74323,0.60644,1.20302,0.000272375,0.000272375,0.000272375
81,37228.8,0.64494,0.45343,1.05392,0.90185,0.87651,0.92167,0.77637,0.74499,0.57808,1.2147,0.00026,0.00026,0.00026
82,37288.2,0.65329,0.4691,1.06827,0.89522,0.87743,0.91731,0.77423,0.73659,0.61065,1.20249,0.000247625,0.000247625,0.000247625
83,37340.7,0.65516,0.47217,1.05892,0.91855,0.86327,0.91903,0.78409,0.72647,0.59175,1.19709,0.00023525,0.00023525,0.00023525
84,37396,0.62962,0.44471,1.0405,0.90367,0.87631,0.92239,0.78039,0.72861,0.60357,1.19871,0.000222875,0.000222875,0.000222875
85,37455.5,0.63204,0.44407,1.04579,0.91057,0.85509,0.92109,0.7827,0.74133,0.57581,1.20354,0.0002105,0.0002105,0.0002105
86,37515.2,0.62278,0.44496,1.03891,0.88817,0.88353,0.92399,0.78211,0.73149,0.57986,1.20392,0.000198125,0.000198125,0.000198125
87,37575.1,0.62099,0.44295,1.0511,0.91851,0.86589,0.92118,0.78161,0.74368,0.56836,1.20195,0.00018575,0.00018575,0.00018575
88,37633.9,0.62835,0.44068,1.04648,0.90359,0.86563,0.91437,0.78124,0.72767,0.59493,1.20149,0.000173375,0.000173375,0.000173375
89,37692.1,0.61123,0.43569,1.04296,0.89739,0.87394,0.92001,0.78568,0.72509,0.58407,1.20895,0.000161,0.000161,0.000161
90,37751.9,0.62691,0.43801,1.04144,0.89348,0.88311,0.92132,0.78694,0.72467,0.58306,1.20525,0.000148625,0.000148625,0.000148625
91,37825.2,0.54895,0.37694,0.99579,0.91044,0.86716,0.92216,0.78591,0.72844,0.5826,1.21587,0.00013625,0.00013625,0.00013625
92,37883.7,0.54416,0.36848,0.99143,0.89318,0.88255,0.92053,0.78507,0.72746,0.56998,1.21305,0.000123875,0.000123875,0.000123875
93,37943.5,0.53416,0.36396,0.98806,0.89414,0.86949,0.91697,0.7853,0.71894,0.57785,1.20565,0.0001115,0.0001115,0.0001115
94,38003.3,0.53208,0.36478,0.9906,0.88629,0.87683,0.9196,0.78664,0.71961,0.57082,1.21129,9.9125e-05,9.9125e-05,9.9125e-05
95,38062.1,0.53088,0.36077,0.98935,0.90316,0.8699,0.91975,0.78939,0.72773,0.58347,1.21463,8.675e-05,8.675e-05,8.675e-05
96,38121.5,0.52138,0.35136,0.98143,0.90553,0.86183,0.91923,0.78714,0.72378,0.58341,1.20726,7.4375e-05,7.4375e-05,7.4375e-05
97,38183,0.51482,0.346,0.97717,0.89971,0.87397,0.92025,0.78802,0.72117,0.58055,1.21075,6.2e-05,6.2e-05,6.2e-05
98,38244.2,0.50906,0.34547,0.97055,0.90706,0.86509,0.91806,0.78762,0.71845,0.58011,1.21647,4.9625e-05,4.9625e-05,4.9625e-05
99,38303.3,0.5152,0.34791,0.98006,0.9106,0.87178,0.92152,0.78918,0.71952,0.57802,1.21974,3.725e-05,3.725e-05,3.725e-05
100,38363.4,0.51465,0.34441,0.97793,0.90682,0.87053,0.91875,0.78443,0.72273,0.58246,1.2202,2.4875e-05,2.4875e-05,2.4875e-05
